date,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,week_ending,pct_answered_60s,pct_abandoned,meets_60s_target
2025-12-07,London,111AJ1,North West London,2178,2010,1238,2112,1940,2025-12-07,61.6,51.2,0
2025-12-07,London,111AK9,South West London (PPG),1805,1711,1031,1770,1751,2025-12-07,60.3,50.8,0
2025-12-07,London,111AL9,North Central London (LAS),1525,1370,755,1474,1273,2025-12-07,55.1,51.8,0
2025-12-07,Midlands,111AL7,Midlands,14225,13626,7533,14225,12909,2025-12-07,55.3,51.1,0
2025-12-07,North East and Yorkshire,111AA1,North East,4165,3766,3638,3793,3412,2025-12-07,96.6,50.2,1
2025-12-07,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),8251,7481,5785,7831,6821,2025-12-07,77.3,51.1,0
2025-12-07,North West,111AJ3,North West including Blackpool (ML CSU),8400,7318,2618,8400,7245,2025-12-07,35.8,53.4,0
2025-12-07,South East,111AA6,Isle of Wight,344,254,124,303,257,2025-12-07,48.8,54.4,0
2025-12-07,South East,111AG9,Thames Valley,3228,2807,1238,3228,2379,2025-12-07,44.1,53.5,0
2025-12-07,South East,111AH9,Hampshire and Surrey Heath,2686,2384,1108,2686,1956,2025-12-07,46.5,53.0,0
2025-12-07,South East,111AI2,Surrey Heartlands,1388,1203,749,1242,1027,2025-12-07,62.3,50.8,0
2025-12-07,South East,111AI9,"Kent, Medway & Sussex",4524,3547,1137,4101,3547,2025-12-07,32.1,53.6,0
2025-12-07,South West,111AI4,Dorset (DHC),1274,1137,941,1155,1097,2025-12-07,82.8,50.4,0
2025-12-07,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",1670,1435,834,1483,1367,2025-12-07,58.1,50.8,0
2025-12-07,South West,111AL2,Devon (PPG),1993,1712,1113,1777,1534,2025-12-07,65.0,50.9,0
2025-12-07,South West,111AL3,Cornwall (HUC),981,947,701,981,781,2025-12-07,74.0,50.9,0
2025-12-07,South West,111AL5,Somerset (HUC),846,804,498,846,656,2025-12-07,61.9,51.3,0
2025-12-07,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",1465,1272,771,1318,1272,2025-12-07,60.6,50.9,0
2025-12-07,South West,111AL8,Gloucestershire (Trust/IC24),1039,853,263,990,857,2025-12-07,30.8,53.7,0
2025-12-08,East of England,111AC5,Cambridgeshire and Peterborough,1180,1157,979,1180,883,2025-12-14,84.6,50.5,0
2025-12-08,East of England,111AC7,Milton Keynes,298,292,239,298,294,2025-12-14,81.8,50.5,0
2025-12-08,East of England,111AG7,Luton and Bedfordshire,1012,991,843,1012,814,2025-12-14,85.1,50.5,0
2025-12-08,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,1057,928,538,1001,961,2025-12-14,58.0,51.9,0
2025-12-08,East of England,111AH4,Mid & South Essex,1238,1090,645,1180,1044,2025-12-14,59.2,52.0,0
2025-12-08,East of England,111AH7,North East Essex & Suffolk,1183,996,483,1037,882,2025-12-14,48.5,51.0,0
2025-12-08,East of England,111AM1,West Essex & Hertfordshire,1679,1658,1409,1679,1476,2025-12-14,85.0,50.3,0
2025-12-08,London,111AD7,South East London,1923,1789,1229,1870,1607,2025-12-14,68.7,51.1,0
2025-12-08,London,111AH5,North East London,2705,2551,1694,2656,2588,2025-12-14,66.4,51.0,0
2025-12-08,London,111AJ1,North West London,2070,1917,1073,2012,1865,2025-12-14,56.0,51.2,0
2025-12-08,London,111AK9,South West London (PPG),1571,1467,752,1533,1485,2025-12-14,51.3,51.1,0
2025-12-08,London,111AL9,North Central London (LAS),1470,1333,762,1409,1192,2025-12-14,57.2,51.4,0
2025-12-08,Midlands,111AL7,Midlands,12426,12124,9251,12426,11442,2025-12-14,76.3,50.6,0
2025-12-08,North East and Yorkshire,111AA1,North East,4370,3237,1853,3948,2970,2025-12-14,57.2,54.9,0
2025-12-08,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),7665,5803,2525,6607,5372,2025-12-14,43.5,53.2,0
2025-12-08,North West,111AJ3,North West including Blackpool (ML CSU),6657,5882,2220,6657,5902,2025-12-14,37.7,53.1,0
2025-12-08,South East,111AA6,Isle of Wight,323,244,162,275,241,2025-12-14,66.4,53.0,0
2025-12-08,South East,111AG9,Thames Valley,2999,2372,705,2999,2228,2025-12-14,29.7,55.8,0
2025-12-08,South East,111AH9,Hampshire and Surrey Heath,2646,2094,692,2646,1959,2025-12-14,33.0,55.8,0
2025-12-08,South East,111AI2,Surrey Heartlands,990,768,368,825,667,2025-12-14,47.9,51.8,0
2025-12-08,South East,111AI9,"Kent, Medway & Sussex",4152,3389,1578,3747,3389,2025-12-14,46.6,52.5,0
2025-12-08,South West,111AI4,Dorset (DHC),1089,931,775,942,919,2025-12-14,83.2,50.3,0
2025-12-08,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",1329,1062,461,1118,1062,2025-12-14,43.4,51.3,0
2025-12-08,South West,111AL2,Devon (PPG),1576,1274,639,1350,1155,2025-12-14,50.2,51.4,0
2025-12-08,South West,111AL3,Cornwall (HUC),523,516,434,523,463,2025-12-14,84.1,50.3,0
2025-12-08,South West,111AL5,Somerset (HUC),726,713,612,726,567,2025-12-14,85.8,50.5,0
2025-12-08,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",1296,1072,498,1145,1030,2025-12-14,46.5,51.6,0
2025-12-08,South West,111AL8,Gloucestershire (Trust/IC24),759,674,396,719,623,2025-12-14,58.8,51.6,0
2025-12-09,East of England,111AC5,Cambridgeshire and Peterborough,1028,990,737,1028,829,2025-12-14,74.4,50.9,0
2025-12-09,East of England,111AC7,Milton Keynes,257,253,228,257,239,2025-12-14,90.1,50.4,0
2025-12-09,East of England,111AG7,Luton and Bedfordshire,849,818,600,849,682,2025-12-14,73.3,50.9,0
2025-12-09,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,995,924,774,953,910,2025-12-14,83.8,50.8,0
2025-12-09,East of England,111AH4,Mid & South Essex,1254,1158,934,1194,1077,2025-12-14,80.7,50.8,0
2025-12-09,East of England,111AH7,North East Essex & Suffolk,1012,836,430,872,738,2025-12-14,51.4,51.1,0
2025-12-09,East of England,111AM1,West Essex & Hertfordshire,1377,1315,1007,1377,1198,2025-12-14,76.6,51.2,0
2025-12-09,London,111AD7,South East London,1637,1492,1046,1585,1381,2025-12-14,70.1,51.5,0
2025-12-09,London,111AH5,North East London,2408,2203,1475,2352,2191,2025-12-14,67.0,51.6,0
2025-12-09,London,111AJ1,North West London,1838,1659,855,1788,1656,2025-12-14,51.5,51.9,0
2025-12-09,London,111AK9,South West London (PPG),1345,1266,605,1310,1307,2025-12-14,47.8,50.9,0
2025-12-09,London,111AL9,North Central London (LAS),1292,1187,752,1238,1094,2025-12-14,63.4,51.1,0
2025-12-09,Midlands,111AL7,Midlands,10743,10619,9472,10743,9988,2025-12-14,89.2,50.3,0
2025-12-09,North East and Yorkshire,111AA1,North East,3657,2824,1564,3270,2583,2025-12-14,55.4,53.7,0
2025-12-09,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),6537,5310,3641,5822,4892,2025-12-14,68.6,52.3,0
2025-12-09,North West,111AJ3,North West including Blackpool (ML CSU),6212,5480,2076,6212,5225,2025-12-14,37.9,53.1,0
2025-12-09,South East,111AA6,Isle of Wight,279,228,184,243,228,2025-12-14,80.7,51.6,0
2025-12-09,South East,111AG9,Thames Valley,2498,2311,1066,2498,2128,2025-12-14,46.1,51.9,0
2025-12-09,South East,111AH9,Hampshire and Surrey Heath,2183,2004,1015,2183,1841,2025-12-14,50.6,52.1,0
2025-12-09,South East,111AI2,Surrey Heartlands,854,681,332,715,595,2025-12-14,48.8,51.2,0
2025-12-09,South East,111AI9,"Kent, Medway & Sussex",3744,3135,2177,3406,3135,2025-12-14,69.4,52.1,0
2025-12-09,South West,111AI4,Dorset (DHC),921,817,708,825,763,2025-12-14,86.7,50.2,0
2025-12-09,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",1161,1002,434,1048,992,2025-12-14,43.3,51.1,0
2025-12-09,South West,111AL2,Devon (PPG),1234,1029,544,1087,918,2025-12-14,52.9,51.4,0
2025-12-09,South West,111AL3,Cornwall (HUC),466,440,353,466,416,2025-12-14,80.2,51.4,0
2025-12-09,South West,111AL5,Somerset (HUC),569,547,408,569,458,2025-12-14,74.6,51.0,0
2025-12-09,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",1171,995,519,1043,909,2025-12-14,52.2,51.2,0
2025-12-09,South West,111AL8,Gloucestershire (Trust/IC24),620,565,477,580,529,2025-12-14,84.4,50.7,0
